Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
"ATP-binding cassette sub-family B member 7, mitochondrial",O75027,,,,0.040,-0.265,-0.026,,,,,,,-0.306,-0.411,-0.240,,,,6,-0.24,-1.2,0.08951
ATP-binding cassette sub-family E member 1,P61221,-0.105,-0.038,0.001,0.152,-0.472,0.112,-0.526,-0.207,-0.166,-0.038,0.042,-0.198,-0.088,0.006,-0.047,0.524,-0.113,0.153,18,0.16,1.1,0.13640
ATP-binding cassette sub-family F member 1,Q8NE71,0.576,1.015,0.258,0.219,-0.033,0.139,0.333,0.932,0.201,-0.088,0.031,-0.780,0.525,0.126,0.034,0.480,0.945,-1.882,18,-0.34,-1.3,0.13768
ATP-binding cassette sub-family F member 2,Q9UG63,0.006,0.259,0.180,0.046,-0.086,0.406,,,,0.100,-0.246,-0.286,-0.086,-0.272,0.007,,,,12,-0.27,-1.2,0.02320
ATP-binding cassette sub-family F member 3,Q9NUQ8,0.647,-0.110,0.621,0.388,0.641,0.322,,,,0.342,0.448,0.262,0.296,0.243,0.322,,,,12,-0.12,-1.1,0.44086
ATP-citrate synthase,P53396,-0.579,-1.590,2.025,-0.264,0.200,-0.012,-0.497,-0.909,0.154,-0.579,-0.367,-1.628,-1.235,-2.058,0.652,0.458,-1.731,-0.192,18,-0.67,-1.6,0.23067
ATP-dependent (S)-NAD(P)H-hydrate dehydratase,Q8IW45,-0.552,0.086,-0.247,0.063,-0.735,0.262,0.012,-0.068,-0.348,-0.274,-0.406,-0.301,-1.026,0.037,-0.296,-0.426,-0.426,-0.440,18,-0.23,-1.2,0.13438
"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",O76031,-0.004,-0.309,0.024,0.016,0.083,-0.116,,,,0.143,0.196,0.182,0.123,-0.010,0.136,,,,12,0.18,1.1,0.02061
ATP-dependent DNA helicase Q1,P46063,0.404,-0.287,0.178,1.325,-0.867,-0.562,0.517,-0.319,0.265,0.046,0.138,-0.859,-0.429,0.010,0.142,0.371,0.491,-1.706,18,-0.29,-1.2,0.40787
ATP-dependent RNA helicase A,Q08211,-0.606,-1.111,-0.181,0.876,0.252,-0.426,1.391,-0.986,0.514,0.829,-0.327,0.125,-2.900,0.132,0.796,0.434,-0.257,-2.366,18,-0.20,-1.1,0.50368
ATP-dependent RNA helicase DDX1,Q92499,0.526,-0.444,-0.844,0.807,0.116,-0.149,-0.017,-0.455,0.315,0.699,0.194,-0.112,-1.837,0.660,0.421,0.502,-0.070,-0.256,18,0.10,1.1,0.90360
ATP-dependent RNA helicase DDX18,Q9NVP1,-0.059,0.020,0.645,0.340,0.035,-0.070,0.888,-0.321,0.543,-0.166,-0.140,0.844,-0.761,1.032,0.567,-0.148,0.184,-0.002,18,-0.02,-1.0,0.77242
ATP-dependent RNA helicase DDX19A,Q9NUU7,-0.348,0.104,0.370,0.082,-0.118,-0.130,,,,-0.002,-0.269,-0.440,-0.091,-0.171,-0.158,,,,12,-0.19,-1.1,0.15632
ATP-dependent RNA helicase DDX19B,Q9UMR2,,,,,,,-0.411,0.000,-0.066,,,,,,,-0.371,-0.240,0.265,6,0.06,1.0,0.85889
ATP-dependent RNA helicase DDX24,Q9GZR7,-0.392,-0.671,0.751,-0.618,0.658,-0.073,0.252,-0.279,-0.200,-0.631,-0.298,0.245,-1.495,-0.537,1.070,0.744,-0.053,-1.461,18,-0.06,-1.0,0.55651
ATP-dependent RNA helicase DDX39A,O00148,-0.132,0.679,1.103,0.920,0.641,-0.475,0.169,0.235,0.515,0.732,0.493,-0.265,0.614,0.269,0.641,0.661,0.408,0.620,18,0.01,1.0,0.77450
ATP-dependent RNA helicase DDX3X,O00571,-0.244,-0.642,0.753,0.939,0.554,0.912,-0.031,0.394,-0.629,0.700,0.207,-0.801,0.421,-3.355,0.501,0.261,-0.031,0.009,18,-0.28,-1.2,0.34300
ATP-dependent RNA helicase DDX42,Q86XP3,-0.590,-0.297,0.367,-0.200,0.052,-0.054,-0.141,0.458,-1.032,-0.125,0.114,-0.059,-0.293,-0.200,0.105,0.086,0.537,-0.498,18,0.09,1.1,0.50878
ATP-dependent RNA helicase DDX50,Q9BQ39,-0.173,-0.240,0.013,,,,,,,0.132,-0.411,0.318,,,,,,,6,0.17,1.1,0.56162
ATP-dependent RNA helicase DHX8,Q14562,,,,-0.049,0.416,0.203,0.035,0.434,0.142,,,,0.125,-0.115,0.230,-0.004,-0.097,0.301,12,-0.13,-1.1,0.27533
"ATP-dependent RNA helicase SUPV3L1, mitochondrial",Q8IYB8,0.408,-1.587,-0.070,-0.293,0.358,-0.717,0.629,-0.315,0.682,0.049,-0.470,1.391,-0.306,-0.371,1.049,0.005,-1.045,-0.235,18,0.16,1.1,0.76317
ATP-dependent zinc metalloprotease YME1L1,Q96TA2,,,,,,,-0.186,-0.106,1.262,,,,,,,1.302,0.478,1.183,6,0.54,1.5,0.28279
AT-rich interactive domain-containing protein 1A,O14497,-0.076,-0.169,-0.182,-0.189,0.236,-0.906,-0.120,-0.081,-0.134,-0.089,-0.089,0.242,0.688,-0.230,0.037,0.079,-0.013,-0.094,18,0.24,1.2,0.09599
AT-rich interactive domain-containing protein 1B,Q8NFD5,,,,-0.053,-0.013,0.014,0.332,0.212,-0.425,,,,-0.053,0.292,-0.001,-0.385,0.226,0.226,12,0.04,1.0,0.79560
AT-rich interactive domain-containing protein 2,Q68CP9,,,,-0.173,0.265,-0.133,,,,,,,-0.824,-0.106,-0.504,,,,6,-0.45,-1.4,0.13700
AT-rich interactive domain-containing protein 3A,Q99856,,,,0.691,0.531,1.063,,,,,,,0.691,-0.466,-0.240,,,,6,-0.69,-1.6,0.11898
AT-rich interactive domain-containing protein 4B,Q4LE39,0.545,0.465,0.094,,,,,,,0.385,0.094,0.492,,,,,,,6,-0.05,-1.0,0.82062
"Axin interactor, dorsalization-associated protein",Q96BJ3,0.166,0.417,-0.645,0.646,-0.629,0.075,-0.519,-0.213,-0.226,-0.273,0.365,-0.871,-0.231,-0.351,-0.351,0.225,-0.200,0.092,18,-0.10,-1.1,0.71178
B- and T-lymphocyte attenuator,Q7Z6A9,0.043,0.827,-0.742,0.177,0.377,-0.009,0.403,0.178,0.471,0.587,0.069,1.238,0.683,0.524,0.271,0.018,0.643,0.310,18,0.28,1.2,0.14602
BAG family molecular chaperone regulator 1,Q99933,0.062,-0.190,-0.814,,,,0.004,-0.116,-0.061,-0.085,0.035,-0.098,,,,-0.248,-0.301,-0.368,12,-0.01,-1.0,0.95413
BAG family molecular chaperone regulator 2,O95816,-0.156,-0.117,-0.622,-0.178,-0.205,-0.205,-0.236,0.999,0.189,0.295,0.189,0.349,0.127,0.113,0.286,-0.183,-0.409,-0.422,18,0.05,1.0,0.59516
BAG family molecular chaperone regulator 4,O95429,,,,-0.026,0.119,-0.146,,,,,,,-0.013,0.066,0.013,,,,6,0.04,1.0,0.64613
BAG family molecular chaperone regulator 5,Q9UL15,0.589,-0.048,0.377,0.137,0.243,0.124,-0.181,0.058,0.455,0.177,0.403,-0.993,0.137,-0.115,-0.021,-0.222,0.137,0.257,18,-0.20,-1.1,0.18349
Band 4.1-like protein 2,O43491,-2.699,-2.699,0.784,,,,,,,-2.315,-2.434,-1.035,,,,,,,6,-1.22,-2.3,0.76959
Barrier-to-autointegration factor,O75531,0.050,0.262,-0.297,0.440,-0.757,0.825,1.823,0.800,-0.767,0.077,0.648,1.498,0.120,1.223,0.386,0.135,0.468,-0.222,18,0.10,1.1,0.52551
Basic leucine zipper and W2 domain-containing protein 1,Q7L1Q6,-0.327,0.271,0.763,0.291,-0.160,0.717,-0.243,-0.017,0.010,0.138,0.045,-0.526,-0.241,0.118,-0.360,0.528,0.807,-0.720,18,-0.14,-1.1,0.43597
Basigin,P35613,,,,,,,1.302,0.585,0.293,,,,,,,0.186,0.957,0.691,6,-0.15,-1.1,0.77403
B-cell antigen receptor complex-associated protein alpha chain,P11912,-0.282,-0.387,0.543,,,,0.055,-0.250,-1.286,-0.574,-0.267,-0.706,,,,-0.995,0.986,-0.184,12,0.04,1.0,0.95333
B-cell antigen receptor complex-associated protein beta chain,P40259,0.096,-0.236,0.893,-0.141,0.045,-0.022,-0.168,-0.048,-0.300,0.056,0.109,-0.409,0.231,0.377,0.018,0.018,0.909,0.098,18,0.14,1.1,0.40286
B-cell differentiation antigen CD72,P21854,-0.248,-0.127,0.536,-0.340,-0.805,0.164,-0.290,-0.542,0.389,-0.234,-0.645,-0.340,-0.168,0.430,-0.340,-0.156,-0.302,-0.156,18,-0.10,-1.1,0.68255
B-cell linker protein,Q8WV28,-0.045,-0.947,0.435,-0.076,-0.247,0.442,,,,-0.203,0.221,-0.522,-0.062,-1.057,-0.062,,,,12,-0.22,-1.2,0.47311
B-cell lymphoma/leukemia 10,O95999,0.176,-0.010,0.189,0.236,-0.429,0.103,,,,-0.049,0.323,-0.728,0.329,-0.269,-0.070,,,,12,-0.09,-1.1,0.53799
B-cell receptor CD22,P20273,-0.469,-0.256,2.043,0.256,-0.011,0.189,0.000,0.000,0.174,0.315,-1.332,0.009,-0.037,-0.091,0.003,0.054,-0.066,0.147,18,-0.49,-1.4,0.27656
B-cell receptor-associated protein 31,P51572,,,,,,,-0.318,-0.253,-0.624,,,,,,,-0.916,-0.265,0.318,6,0.19,1.1,0.78193
B-cell scaffold protein with ankyrin repeats,Q8NDB2,0.606,-0.018,0.979,1.441,-0.260,0.896,-0.319,0.836,0.039,-0.815,-0.616,-0.604,0.139,-2.067,-0.618,0.146,-0.333,-0.837,18,-1.09,-2.1,0.00233
Bcl10-interacting CARD protein,Q96LW7,-0.092,-0.411,0.478,,,,,,,-0.080,-0.173,0.027,,,,,,,6,-0.11,-1.1,0.81426
Bcl-2-associated transcription factor 1,Q9NYF8,0.293,0.439,-1.592,-0.331,0.400,-0.650,0.356,-0.202,0.077,0.188,-0.184,0.559,0.056,0.599,-0.370,-1.251,0.967,-0.243,18,0.18,1.1,0.59140
Bcl-2-like protein 11,O43521,,,,0.141,0.114,0.233,-0.539,0.524,0.963,,,,0.592,0.141,0.327,0.151,0.165,0.284,12,-0.02,-1.0,0.86502
Bcl-2-like protein 13,Q9BXK5,0.205,0.538,0.125,-1.994,0.688,-0.775,1.725,-0.002,-1.623,-0.791,0.298,0.817,1.220,1.233,0.821,0.342,0.249,0.503,18,0.37,1.3,0.16180
Beclin-1,Q14457,,,,-0.292,-0.226,-0.066,,,,,,,0.013,-0.318,-0.346,,,,6,-0.02,-1.0,0.87511
BET1 homolog,O15155,,,,0.877,1.036,0.811,,,,,,,0.598,1.568,0.837,,,,6,0.15,1.1,0.77169
"Beta-1,4-galactosyltransferase 1",P15291,0.044,-0.288,-0.155,,,,-0.296,-0.801,0.036,-0.341,-0.274,-0.460,,,,-0.084,-1.136,0.806,12,0.09,1.1,0.98680
Beta-2-microglobulin,P61769,-0.637,-1.662,0.478,,,,,,,0.293,-0.346,-1.248,,,,,,,6,0.05,1.0,0.83136
Beta-actin-like protein 2,Q562R1,,,,-0.836,0.054,-0.012,-0.506,0.889,-1.463,,,,-0.690,-0.517,-0.358,-0.852,0.012,-0.439,12,-0.32,-1.3,0.65740
Beta-adrenergic receptor kinase 1,P25098,0.133,-0.252,0.598,0.583,0.224,0.237,-0.410,0.374,0.401,0.213,-0.014,0.213,0.051,-0.320,0.117,0.747,-0.675,0.454,18,-0.11,-1.1,0.50428
Beta-catenin-like protein 1,Q8WYA6,0.447,0.487,0.248,0.199,0.079,0.332,-0.275,0.283,0.057,0.315,-0.217,0.235,0.585,0.000,0.318,0.390,0.629,0.430,18,0.10,1.1,0.44958
Beta-centractin,P42025,-0.076,-0.303,-0.182,0.031,-0.342,-0.090,0.085,-0.686,-0.273,0.203,0.030,-0.780,-0.090,-0.421,-0.196,0.032,-0.525,0.258,18,0.06,1.0,0.78555
Beta-galactosidase,P16278,,,,0.170,0.144,0.184,0.760,0.215,0.241,,,,-0.254,0.011,0.276,-0.703,-0.091,0.108,12,-0.38,-1.3,0.04209
Beta-glucuronidase,P08236,,,,-0.226,-0.279,-0.199,,,,,,,-0.346,0.054,-0.120,,,,6,0.11,1.1,0.45498
Beta-hexosaminidase subunit beta,P07686,-1.280,-0.626,0.343,-0.170,0.374,0.480,,,,0.118,-0.162,1.539,-0.105,-0.662,0.015,,,,12,0.34,1.3,0.53013
Beta-lactamase-like protein 2,Q53H82,-0.241,0.144,0.250,-0.394,0.138,-0.102,-0.376,0.036,-0.309,-0.732,-0.028,-0.586,-0.433,-0.446,0.045,-0.084,-0.429,-0.030,18,-0.20,-1.2,0.11504
Beta-parvin,Q9HBI1,,,,0.252,1.674,4.252,,,,,,,-1.527,0.213,2.219,,,,6,-1.93,-3.8,0.33207
BH3-interacting domain death agonist,P55957,-0.282,0.037,0.329,-0.316,-0.595,1.385,,,,-0.548,-0.642,-1.918,-0.979,-2.139,-0.382,,,,12,-1.22,-2.3,0.01753
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,O43252,0.209,0.754,0.448,1.199,-0.036,-0.076,,,,0.860,0.195,0.130,0.455,0.296,0.760,,,,12,-0.01,-1.0,0.89118
Bifunctional aminoacyl-tRNA synthetase,P07814,-0.312,0.552,-0.193,0.181,-0.231,0.235,-1.052,0.077,-0.414,0.406,0.632,-2.681,0.288,-2.146,0.076,-0.162,0.635,-0.679,18,0.00,1.0,0.53551
Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing),Q3LXA3,-0.426,0.012,0.995,0.140,-0.749,0.074,-0.537,-0.232,0.061,-0.082,-0.069,-1.582,0.034,-0.630,-0.020,1.323,-2.465,0.699,18,0.02,1.0,0.57694
Bifunctional coenzyme A synthase,Q13057,-0.479,-0.903,0.292,-0.324,-0.231,-0.590,-0.287,-1.202,0.073,-0.505,-1.291,0.039,-0.789,-0.444,-0.470,-0.034,-1.563,0.166,18,-0.10,-1.1,0.58777
Bifunctional epoxide hydrolase 2,P34913,,,,1.555,0.505,0.877,,,,,,,0.225,1.727,-0.173,,,,6,-0.21,-1.2,0.58756
Bifunctional glutamate/proline--tRNA ligase,P07814,-0.312,0.552,-0.193,0.181,-0.231,0.235,-1.052,0.077,-0.414,0.406,0.632,-2.681,0.288,-2.146,0.076,-0.162,0.635,-0.679,18,0.00,1.0,0.53551
Bifunctional polynucleotide phosphatase/kinase,Q96T60,,,,-0.186,-0.173,-0.346,,,,,,,-0.438,-0.371,-0.080,,,,6,-0.06,-1.0,0.64247
Bifunctional protein NCOAT,O60502,-0.413,-0.679,-0.533,-0.442,-0.229,-0.482,-1.988,-2.016,0.298,-0.294,0.012,-0.507,-0.296,-0.589,-0.376,0.842,0.603,-0.154,18,0.56,1.5,0.05463
Bifunctional purine biosynthesis protein PURH,P31939,-0.288,0.230,-0.090,0.973,0.415,0.469,-0.965,-0.698,0.099,0.775,0.536,-2.694,-2.201,-2.147,0.960,1.069,-1.337,0.299,18,-0.06,-1.0,0.34013
Biogenesis of lysosome-related organelles complex 1 subunit 2,Q6QNY1,-0.009,0.136,-0.222,0.192,0.325,-0.048,-0.168,0.150,0.322,0.349,0.389,0.150,0.285,-0.167,0.205,-0.077,0.389,0.176,18,0.11,1.1,0.24224
Biogenesis of lysosome-related organelles complex 1 subunit 3,Q6QNY0,0.160,0.132,-0.080,,,,,,,-0.199,0.239,-0.425,,,,,,,6,-0.18,-1.1,0.39496
Biogenesis of lysosome-related organelles complex 1 subunit 6,Q9UL45,,,,0.106,0.160,0.080,,,,,,,0.027,0.186,0.279,,,,6,0.05,1.0,0.55978
Biorientation of chromosomes in cell division protein 1-like,Q8NFC6,-0.249,-0.142,-0.344,-0.245,0.021,-0.444,-0.011,-0.076,-0.024,0.083,-0.142,0.507,0.871,-0.206,-0.285,-0.209,0.056,-0.024,18,0.28,1.2,0.10104
Biorientation of chromosomes in cell division protein 1-like 1,Q8NFC6,-0.249,-0.142,-0.344,-0.245,0.021,-0.444,-0.011,-0.076,-0.024,0.083,-0.142,0.507,0.871,-0.206,-0.285,-0.209,0.056,-0.024,18,0.28,1.2,0.10104
Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],P50583,-0.455,-0.310,0.208,-0.088,-0.009,-0.036,,,,0.779,-0.083,-0.936,-0.088,-0.540,-0.036,,,,12,0.05,1.0,0.89053
Bisphosphoglycerate mutase,P07738,-0.279,-0.240,0.027,,,,,,,-0.039,-0.026,-0.704,,,,,,,6,-0.07,-1.0,0.72313
Bleomycin hydrolase,Q13867,1.741,1.568,1.262,,,,,,,1.422,0.531,1.422,,,,,,,6,-0.36,-1.3,0.29098
B-lymphocyte antigen CD19,P15391,-0.212,0.493,-2.659,0.271,-0.406,0.537,0.060,0.180,-0.432,0.533,0.041,0.001,-0.168,-0.353,-1.683,-0.152,-0.524,-0.935,18,-0.21,-1.2,0.76337
B-lymphocyte antigen CD20,P11836,-0.238,-0.690,1.077,0.584,0.465,0.451,,,,-0.743,-1.234,0.439,0.704,-1.598,-1.996,,,,12,-0.77,-1.7,0.07875
BMP-2-inducible protein kinase,Q9NSY1,,,,0.757,0.930,0.771,,,,,,,1.196,2.153,0.678,,,,6,0.65,1.6,0.29591
BolA-like protein 2,Q9H3K6,-0.825,-0.241,-0.241,0.732,-0.345,0.121,,,,-0.492,0.091,-1.131,0.001,-2.525,-0.823,,,,12,-0.54,-1.5,0.15836
Brain acid soluble protein 1,P80723,1.618,-2.007,-0.894,0.633,-1.559,-2.425,-0.191,0.341,-2.700,-3.455,0.607,-0.348,1.377,-2.142,-0.364,-1.479,0.114,-0.563,18,-0.02,-1.0,0.88387
"Branched-chain-amino-acid aminotransferase, cytosolic",P54687,,,,-0.492,-0.385,0.731,,,,,,,-0.066,0.186,0.372,,,,6,0.11,1.1,0.63261
"Branched-chain-amino-acid aminotransferase, mitochondrial",O15382,-0.799,0.265,-2.435,-1.425,0.038,-0.811,0.813,-1.007,0.029,-0.093,-0.493,1.500,-0.294,0.597,-0.161,-0.953,-0.542,-0.396,18,0.42,1.3,0.24039
BRCA1-A complex subunit Abraxas,Q6UWZ7,,,,-0.162,0.105,-1.012,-0.103,-0.530,0.254,,,,-0.201,0.210,0.609,0.016,0.241,-0.329,12,0.31,1.2,0.18578
BRCA1-A complex subunit BRE,Q9NXR7,0.080,-0.106,0.080,0.213,-0.119,-0.199,,,,-0.066,0.133,0.080,-0.371,0.213,0.466,,,,12,0.10,1.1,0.53527
BRCA1-A complex subunit RAP80,Q96RL1,-0.776,0.366,-0.311,-0.870,-0.073,-0.231,-0.745,-0.585,0.504,-0.232,-0.047,-0.178,-0.843,0.379,0.459,-0.135,0.636,-0.852,18,0.22,1.2,0.39260
BRCA2 and CDKN1A-interacting protein,Q9P287,-0.393,0.577,0.923,-0.110,-0.335,-0.321,-0.494,-1.745,0.755,0.285,-0.965,-1.494,-0.003,-0.043,-0.255,-0.003,0.237,0.183,18,-0.19,-1.1,0.76719
Breakpoint cluster region protein,P11274,-0.358,0.106,0.505,,,,,,,0.225,0.531,-0.199,,,,,,,6,0.09,1.1,0.77156
Breast carcinoma-amplified sequence 4,Q8TDM0,,,,0.358,1.276,-0.371,,,,,,,0.704,0.027,0.943,,,,6,0.03,1.0,0.81508
Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Q9Y6D6,-0.103,0.016,1.053,0.271,0.006,0.536,-0.221,0.430,-0.288,0.309,-0.130,-1.673,-0.035,-0.367,-0.938,-0.340,-0.512,0.404,18,-0.50,-1.4,0.04662
BRI3-binding protein,Q8WY22,0.877,1.262,1.448,,,,,,,0.678,0.172,1.143,,,,,,,6,-0.50,-1.4,0.17907
Bridging integrator 2,Q9UBW5,0.285,0.949,0.019,0.005,0.510,0.882,0.282,0.402,0.508,-0.181,-0.326,-0.434,-0.048,-0.393,-0.645,0.030,-0.927,0.016,18,-0.75,-1.7,0.00017
BRISC and BRCA1-A complex member 1,Q9NWV8,0.409,0.714,0.674,0.432,0.499,0.314,0.448,0.847,0.448,0.421,0.461,0.302,0.273,0.353,1.110,-0.496,0.687,1.046,18,-0.01,-1.0,0.68525
BRISC complex subunit Abro1,Q15018,,,,-0.013,-0.240,-0.039,,,,,,,-0.053,-0.026,-0.240,,,,6,-0.01,-1.0,0.93238
BRO1 domain-containing protein BROX,Q5VW32,,,,-0.492,-0.438,-0.637,,,,,,,-0.452,-0.571,0.132,,,,6,0.26,1.2,0.37370
Bromodomain adjacent to zinc finger domain protein 2A,Q9UIF9,,,,,,,-0.253,0.040,0.318,,,,,,,0.265,0.545,0.411,6,0.36,1.3,0.11272
Bromodomain-containing protein 2,P25440,,,,-0.026,0.147,0.239,,,,,,,0.054,0.040,0.106,,,,6,-0.06,-1.0,0.54271
Bromodomain-containing protein 3,Q15059,,,,0.130,0.037,0.037,0.413,-0.516,0.560,,,,-0.161,0.051,-0.148,0.108,0.068,-0.688,12,-0.25,-1.2,0.24818
Bromodomain-containing protein 4,O60885,0.191,0.032,-0.460,0.031,-0.048,-0.605,0.321,-0.090,0.097,0.099,-0.101,0.483,0.364,0.271,0.231,-0.010,0.016,-0.090,18,0.19,1.1,0.11876
Bromodomain-containing protein 7,Q9NPI1,,,,0.186,0.545,0.385,,,,,,,0.106,-0.186,1.023,,,,6,0.03,1.0,0.88562
Bromodomain-containing protein 8,Q9H0E9,,,,0.037,0.064,-0.109,-0.437,0.121,0.002,,,,-0.136,0.024,-0.082,0.109,0.096,-0.091,12,0.03,1.0,0.67654
Bromodomain-containing protein 9,Q9H8M2,0.320,0.613,1.078,0.223,0.170,1.034,1.370,0.493,1.144,0.559,0.334,0.626,0.316,0.940,0.848,-0.251,0.573,0.201,18,-0.28,-1.2,0.20103
BSD domain-containing protein 1,Q9NW68,,,,-0.624,0.013,-0.452,,,,,,,-0.240,-0.678,-0.546,,,,6,-0.15,-1.1,0.59308
BTB/POZ domain-containing protein 2,Q9BX70,0.054,0.199,0.066,,,,,,,0.013,-0.026,0.040,,,,,,,6,-0.10,-1.1,0.12448
Butyrophilin subfamily 3 member A3,O00478,,,,0.372,-0.013,-0.398,,,,,,,0.147,0.318,0.318,,,,6,0.24,1.2,0.29807
Bystin,Q13895,-0.046,-0.113,0.551,-0.578,-0.485,0.751,-0.199,-0.359,-0.146,0.299,0.152,-0.006,0.326,0.312,0.512,1.635,0.146,-0.240,18,0.46,1.4,0.08922
"C-1-tetrahydrofolate synthase, cytoplasmic",P11586,0.247,-1.002,0.898,0.523,0.444,-0.101,-0.809,0.797,0.319,0.871,0.034,-1.972,-0.965,-0.804,-0.021,1.143,-2.082,-0.291,18,-0.36,-1.3,0.18693
Cactin,Q8WUQ7,,,,,,,0.160,-0.398,0.346,,,,,,,0.147,-0.253,0.080,6,-0.07,-1.0,0.86930
CAD protein,P27708,-0.157,0.029,0.149,0.133,0.066,-0.040,-1.064,0.369,-0.600,0.175,0.175,-1.021,-0.385,-0.836,0.412,0.542,0.144,-0.042,18,0.06,1.0,0.89587
Calcineurin B homologous protein 3,Q96BS2,,,,0.571,-0.610,-0.160,,,,,,,0.239,-0.013,0.465,,,,6,0.23,1.2,0.46895
Calcineurin subunit B type 1,P63098,-0.589,0.274,0.367,0.261,-0.482,0.235,-0.297,0.952,-0.484,-0.628,0.381,-0.137,-0.164,-0.084,-0.098,0.341,-0.044,-0.801,18,-0.20,-1.2,0.45733
Calcineurin-binding protein cabin-1,Q9Y6J0,,,,-0.371,-0.306,0.398,,,,,,,-0.133,-0.425,0.332,,,,6,0.01,1.0,0.95949
Calcineurin-like phosphoesterase domain-containing protein 1,Q9BRF8,-0.711,-0.698,0.470,-0.270,-1.215,1.483,-0.412,-0.399,-0.360,0.045,-0.326,-1.523,-2.413,-0.722,0.394,-0.307,-0.731,-0.533,18,-0.49,-1.4,0.26355
Calcium and integrin-binding protein 1,Q99828,-0.535,-0.244,-0.217,,,,-0.234,0.071,-0.288,0.142,-0.191,-0.522,,,,-0.234,-0.128,-0.753,12,-0.02,-1.0,0.79779
Calcium homeostasis endoplasmic reticulum protein,Q8IWX8,0.122,0.216,0.096,0.457,-0.141,-1.509,0.404,-0.686,0.058,0.255,0.109,0.202,0.603,1.068,0.523,0.125,0.895,0.205,18,0.49,1.4,0.03429
"Calcium uniporter protein, mitochondrial",Q8NE86,0.775,-0.288,0.536,0.314,0.355,0.154,,,,-0.142,-0.142,0.881,0.088,0.474,0.235,,,,12,-0.06,-1.0,0.73680
Calcium/calmodulin-dependent protein kinase type 1D,Q8IU85,-0.072,0.886,1.483,,,,-0.220,0.005,-0.142,0.726,0.766,-4.542,,,,0.165,-0.419,-0.142,12,-0.44,-1.4,0.32346
Calcium/calmodulin-dependent protein kinase type II subunit delta,Q13557,-0.463,-0.979,0.959,0.504,0.849,-0.346,0.477,0.450,0.637,0.866,-0.355,-0.449,-0.320,-0.614,-0.493,0.039,-1.558,-0.466,18,-0.60,-1.5,0.06584
Calcium-binding mitochondrial carrier protein Aralar1,O75746,-0.379,-1.031,0.272,-0.566,0.842,0.086,0.865,-0.476,0.506,0.139,-0.207,0.750,-1.454,0.231,0.405,-0.530,-0.025,-0.795,18,-0.18,-1.1,0.58002
Calcium-binding mitochondrial carrier protein SCaMC-1,Q6NUK1,1.181,-0.001,-1.369,-0.539,1.772,-2.012,1.139,-0.892,0.807,1.075,-0.374,2.390,1.108,1.400,1.175,0.554,-0.149,1.445,18,0.70,1.6,0.08505
Calcium-binding protein 39,Q9Y376,0.610,0.890,0.331,0.513,-0.218,0.433,-0.551,0.696,0.112,0.331,0.810,-2.100,0.792,-0.191,-0.457,-0.286,0.364,0.537,18,-0.20,-1.1,0.33668
Calcium-independent phospholipase A2-gamma,Q9NP80,0.336,-0.566,0.004,,,,0.301,-0.603,-0.030,-0.155,-0.580,0.443,,,,-0.257,-0.044,0.115,12,0.00,1.0,0.95265
Calcium-regulated heat stable protein 1,Q9Y2V2,-0.758,1.235,1.235,-0.305,-0.676,0.199,,,,-0.372,0.504,-4.379,0.081,-0.571,-1.262,,,,12,-0.85,-1.8,0.18314
Calcyclin-binding protein,Q9HB71,-0.234,-0.354,-0.382,0.177,-0.302,-0.247,-0.394,-0.154,-0.261,-0.129,0.696,-0.951,-0.274,-0.500,-0.207,-0.116,-0.194,-0.235,18,0.08,1.1,0.86458
Calmodulin,P62158,0.495,0.388,0.335,0.275,-0.083,1.803,-0.942,1.515,0.121,0.375,0.641,-0.994,0.913,-0.310,-1.358,0.877,0.412,-0.742,18,-0.47,-1.4,0.26473
Calnexin,P27824,0.124,-0.208,0.297,-1.020,1.106,-0.024,1.534,-0.341,0.139,0.882,-0.831,1.613,-0.581,1.451,0.946,-0.341,0.935,-0.048,18,0.32,1.2,0.50547
Calpain small subunit 1,P04632,0.663,0.224,0.943,-0.140,-0.060,0.511,-1.188,0.540,-0.827,-0.479,0.956,-2.655,0.431,-0.578,-0.512,0.832,0.247,0.049,18,-0.13,-1.1,0.54951
Calpain-1 catalytic subunit,P07384,0.452,-0.067,1.701,0.952,0.793,1.391,0.855,1.147,0.163,1.037,1.037,-0.717,-0.815,0.607,0.514,1.294,-0.753,0.736,18,-0.39,-1.3,0.16630
Calpain-2 catalytic subunit,P17655,0.525,0.220,2.438,0.711,1.335,2.159,,,,1.548,1.335,-0.299,0.591,-0.046,1.016,,,,12,-0.63,-1.5,0.28631
Calpastatin,P20810,-0.010,-0.421,0.004,-0.048,0.165,-0.207,-1.883,0.401,-0.115,-0.090,0.203,-2.323,0.219,-2.120,-0.646,0.043,-0.302,-0.781,18,-0.28,-1.2,0.30747
