"","Protein.Name","Accession.Number","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"127","Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2","sp|P14314|GLU2B_HUMAN",1.14,1.09,1.1,1.26,1.11,1.01,1.11,1.24,1.34,NA,NA,NA
"128","3,2-trans-enoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=DCI PE=1 SV=1","sp|P42126|D3D2_HUMAN",0.89,0.82,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Hematopoietic lineage cell-specific protein OS=Homo sapiens GN=HCLS1 PE=1 SV=2","sp|P14317|HCLS1_HUMAN",1.1,1.09,1.1,0.89,0.97,0.87,1.04,1.41,1.09,1.13,1.06,NA
"130","Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=2","sp|P08574|CY1_HUMAN",0.76,1.16,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Zinc finger protein 207 OS=Homo sapiens GN=ZNF207 PE=1 SV=1","sp|O43670|ZN207_HUMAN",0.93,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4","sp|O00567|NOP56_HUMAN",1.06,1,1.1,1.25,NA,1.15,1.04,1.19,1.12,NA,NA,1.22
"133","T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4","sp|P50990|TCPQ_HUMAN",1.01,1.04,1.1,0.9,1.03,1.09,1.11,1.05,0.77,1.11,1.14,NA
"134","Abhydrolase domain-containing protein 14B OS=Homo sapiens GN=ABHD14B PE=1 SV=1","sp|Q96IU4|ABHEB_HUMAN",1.03,0.86,1.09,1.04,1.31,0.87,1.1,0.94,0.83,1.33,1.08,NA
"135","Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4","sp|P11413|G6PD_HUMAN",1.04,1.19,1.09,0.94,0.99,0.97,1.03,0.88,1.11,1.09,1.06,NA
"136","Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1","sp|O94906|PRP6_HUMAN",1.08,0.82,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2","sp|P62805|H4_HUMAN",1.32,0.92,1.09,0.99,0.72,1.45,0.92,0.67,0.8,1.39,1.43,1.27
"138","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2","sp|Q13011|ECH1_HUMAN",1.04,1.05,1.09,1.04,1.06,0.91,NA,NA,NA,NA,NA,NA
"139","Tyrosine-protein kinase Lyn OS=Homo sapiens GN=LYN PE=1 SV=3","sp|P07948|LYN_HUMAN",0.87,0.99,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2","sp|P42167|LAP2B_HUMAN",1.19,0.93,1.09,0.97,0.91,0.82,0.9,0.61,0.7,1.07,1.13,0.99
"141","Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2","sp|P00491|PNPH_HUMAN",1.38,1.24,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1","sp|Q07666|KHDR1_HUMAN",1.35,0.79,1.09,0.98,NA,1.14,0.93,0.78,1.09,NA,NA,1.13
"143","Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2","sp|P99999|CYC_HUMAN",0.93,1.28,1.09,NA,NA,NA,1.04,1.54,1.34,NA,NA,NA
"144","40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2","sp|P23396|RS3_HUMAN",1.06,1.09,1.09,1.08,1.04,1.06,NA,NA,NA,1.04,1.04,NA
"145","DAZ-associated protein 1 OS=Homo sapiens GN=DAZAP1 PE=1 SV=1","sp|Q96EP5|DAZP1_HUMAN",1.53,0.36,1.09,NA,NA,NA,0.86,0.71,0.96,NA,NA,NA
"146","Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1","sp|P26599|PTBP1_HUMAN",0.93,0.7,1.09,NA,NA,NA,1,0.63,1.29,NA,NA,NA
"147","Interleukin-25 OS=Homo sapiens GN=IL25 PE=1 SV=1","sp|Q9H293|IL25_HUMAN",1.35,1.22,1.09,NA,NA,NA,1.33,1.45,1.32,1.07,1.14,NA
"148","Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2","sp|Q99798|ACON_HUMAN",0.95,1,1.09,0.99,0.99,1.07,NA,NA,NA,1.03,1.03,NA
"149","EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2","sp|Q9H4M9|EHD1_HUMAN",0.79,0.99,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5","sp|P08107|HSP71_HUMAN",1.3,0.99,1.09,NA,NA,NA,NA,NA,NA,0.96,1.25,NA
"151","Ferritin heavy chain OS=Homo sapiens GN=FTH1 PE=1 SV=2","sp|P02794|FRIH_HUMAN",0.68,0.99,1.08,NA,NA,NA,1.29,1.76,1.2,NA,NA,NA
"152","AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2","sp|O00170|AIP_HUMAN",0.95,1.2,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Splicing factor, arginine/serine-rich 3 OS=Homo sapiens GN=SFRS3 PE=1 SV=1","sp|P84103|SFRS3_HUMAN",0.93,1.25,1.08,NA,NA,NA,1.09,1.14,1.02,1.26,1.26,NA
"154","Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=2","sp|P60174|TPIS_HUMAN",1.09,1,1.08,0.98,1.05,0.86,1.2,0.99,0.99,0.98,0.93,NA
"155","T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3","sp|P40227|TCPZ_HUMAN",1.04,1.05,1.08,1.11,1.25,0.89,NA,NA,NA,0.98,0.92,NA
"156","Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4","sp|P30101|PDIA3_HUMAN",1.24,0.97,1.08,1.09,1.01,1.11,1.05,1.03,1.05,1,0.99,NA
"157","Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3","sp|Q9UQ80|PA2G4_HUMAN",0.99,1,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2","sp|Q16181|SEPT7_HUMAN",0.9,0.95,1.08,NA,NA,NA,0.9,0.82,1.14,NA,NA,NA
"159","Transcription elongation factor A protein-like 3 OS=Homo sapiens GN=TCEAL3 PE=1 SV=1","sp|Q969E4|TCAL3_HUMAN",1.15,1.01,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3","sp|P20073|ANXA7_HUMAN",0.95,0.85,1.08,0.97,0.91,1.04,0.9,0.86,0.96,NA,NA,NA
"161","Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1","sp|Q16563|SYPL1_HUMAN",1,1.16,1.08,1.01,1.03,0.89,NA,NA,NA,0.84,0.79,NA
"162","rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2","sp|P22087|FBRL_HUMAN",0.97,1.13,1.08,0.96,1.03,0.85,0.97,1.29,1.19,0.89,0.89,0.89
"163","Scavenger mRNA-decapping enzyme DcpS OS=Homo sapiens GN=DCPS PE=1 SV=2","sp|Q96C86|DCPS_HUMAN",1.14,1.16,1.08,1.23,1.22,1.05,0.86,0.96,1.03,1.24,1.04,NA
"164","Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4","sp|P14174|MIF_HUMAN",1.31,0.97,1.08,NA,NA,NA,1.3,2.14,1.04,NA,NA,NA
"165","Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=3","sp|O75396|SC22B_HUMAN",1.08,1.03,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1","sp|P62258|1433E_HUMAN",0.99,1.05,1.08,NA,NA,NA,1.02,1.19,0.91,1.17,1.12,NA
"167","Thyroid hormone receptor-associated protein 3 OS=Homo sapiens GN=THRAP3 PE=1 SV=2","sp|Q9Y2W1|TR150_HUMAN",0.97,0.72,1.08,NA,NA,NA,1.07,0.79,1.45,NA,NA,NA
"168","Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1","sp|P04632|CPNS1_HUMAN",1.06,1.12,1.08,1.14,1.01,1.07,1.04,0.79,0.89,1.1,1.15,NA
"169","Non-histone chromosomal protein HMG-17 OS=Homo sapiens GN=HMGN2 PE=1 SV=3","sp|P05204|HMGN2_HUMAN",1.77,1,1.08,NA,NA,NA,1.42,0.99,1.21,NA,NA,NA
"170","Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3","sp|P61158|ARP3_HUMAN",1.16,1.05,1.07,0.84,1,1.02,1.43,1.2,1.12,1,0.99,NA
"171","60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2","sp|P35268|RL22_HUMAN",0.94,0.94,1.07,0.93,1.03,0.99,NA,NA,NA,0.63,0.57,NA
"172","Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2","sp|Q6P2Q9|PRP8_HUMAN",0.99,NA,1.07,0.82,NA,NA,0.97,1.05,0.96,NA,NA,NA
"173","ATP synthase subunit e, mitochondrial OS=Homo sapiens GN=ATP5I PE=1 SV=2","sp|P56385|ATP5I_HUMAN",1.19,0.98,1.07,NA,NA,NA,NA,NA,NA,1.09,1.05,NA
"174","Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2","sp|P20700|LMNB1_HUMAN",1.12,0.94,1.07,1.08,0.94,1.08,1.27,1.42,1.23,0.75,0.78,1.15
"175","Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1","sp|Q15084|PDIA6_HUMAN",1.13,1.11,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2","sp|P43243|MATR3_HUMAN",1.03,0.8,1.07,1.09,NA,1.03,1.06,0.88,1.21,NA,NA,0.9
"177","Switch-associated protein 70 OS=Homo sapiens GN=SWAP70 PE=1 SV=1","sp|Q9UH65|SWP70_HUMAN",1.03,1.28,1.07,0.99,1.07,1.01,NA,NA,NA,1.54,1.38,NA
"178","Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2 PE=1 SV=4","sp|Q15819|UB2V2_HUMAN",0.99,1.05,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1","sp|P11142|HSP7C_HUMAN",0.9,1.17,1.07,NA,NA,NA,0.89,0.92,1.01,NA,NA,NA
"180","Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1","sp|P27797|CALR_HUMAN",1.11,1.03,1.07,1.2,1.08,1.06,1.05,0.98,1.19,1.23,1.2,NA
"181","Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4","sp|P06744|G6PI_HUMAN",1.14,1.17,1.07,1.03,0.92,1.17,1.11,0.88,1.08,1.05,1.16,NA
"182","ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=6","sp|P05141|ADT2_HUMAN",1.07,1.08,1.07,NA,NA,NA,NA,NA,NA,0.94,0.91,NA
"183","SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1","sp|P63279|UBC9_HUMAN",0.9,0.85,1.07,0.86,1.13,1.04,0.9,0.89,0.96,NA,NA,NA
"184","Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2","sp|P14678|RSMB_HUMAN",1.21,0.96,1.07,NA,NA,NA,0.87,1.01,0.96,NA,NA,NA
"185","Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1","sp|Q00688|FKBP3_HUMAN",1.09,0.92,1.07,0.88,0.97,0.95,NA,NA,NA,NA,NA,NA
"186","Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1","sp|P06703|S10A6_HUMAN",0.91,1.12,1.07,1.02,0.99,1.32,1.21,1,0.82,0.78,0.84,NA
"187","Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRPDL PE=1 SV=3","sp|O14979|HNRDL_HUMAN",0.97,0.65,1.07,1.72,NA,1.29,1.19,0.7,0.81,NA,NA,1.35
"188","Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1","sp|P51149|RAB7A_HUMAN",1.04,1.04,1.06,1.02,0.97,1.03,0.98,0.83,1.02,1.18,1.15,NA
"189","Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2","sp|P55786|PSA_HUMAN",1.01,1.08,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4","sp|P49368|TCPG_HUMAN",1.05,1,1.06,0.99,1.18,1.12,0.91,1.29,1.07,NA,NA,NA
"191","Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2","sp|P09960|LKHA4_HUMAN",0.98,1.02,1.06,1.39,1.05,1.02,1.26,0.99,1.32,1.11,1.23,NA
"192","Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3","sp|P29401|TKT_HUMAN",0.93,1.19,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Protein LYRIC OS=Homo sapiens GN=MTDH PE=1 SV=2","sp|Q86UE4|LYRIC_HUMAN",1.05,1.02,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens GN=USP5 PE=1 SV=2","sp|P45974|UBP5_HUMAN",1.06,0.99,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Glia maturation factor gamma OS=Homo sapiens GN=GMFG PE=1 SV=1","sp|O60234|GMFG_HUMAN",1.16,1.1,1.06,1.07,1.13,0.98,NA,NA,NA,1.26,1.17,NA
"196","Moesin OS=Homo sapiens GN=MSN PE=1 SV=3","sp|P26038|MOES_HUMAN",1.02,0.98,1.06,0.92,0.85,1.02,0.99,1,1.07,0.91,0.86,NA
"197","WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4","sp|O75083|WDR1_HUMAN",1.02,1.03,1.05,1,1.02,0.99,1.13,0.96,1.03,1.05,0.91,NA
"198","Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1","sp|P06702|S10A9_HUMAN",0.78,3.75,1.05,1.47,1.29,1.95,0.86,3.79,1.97,0.9,0.79,NA
"199","Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3","sp|P26641|EF1G_HUMAN",1.08,1.02,1.05,1.19,0.96,1.15,0.89,0.92,1.32,0.94,0.87,NA
"200","Hsc70-interacting protein OS=Homo sapiens GN=ST13 PE=1 SV=2","sp|P50502|F10A1_HUMAN",0.93,0.93,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2","sp|P10412|H14_HUMAN",1.5,1.04,1.05,NA,NA,NA,1.13,0.92,1.17,NA,NA,NA
"202","Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1","sp|P26599|PTBP1_HUMAN",0.9,1.27,1.05,NA,NA,NA,0.95,1.45,1.04,0.97,1.01,NA
"203","Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2","sp|P06748|NPM_HUMAN",1.17,1.07,1.04,1.6,1.21,1.63,1.17,0.75,0.87,1.68,1.49,1.38
"204","Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3","sp|P55084|ECHB_HUMAN",1.06,0.98,1.04,1.04,1.12,1.06,NA,NA,NA,0.8,0.78,NA
"205","Transmembrane protein 109 OS=Homo sapiens GN=TMEM109 PE=1 SV=1","sp|Q9BVC6|TM109_HUMAN",1.01,0.86,1.04,NA,NA,NA,NA,NA,NA,0.83,0.88,NA
"206","Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1","sp|P35232|PHB_HUMAN",0.99,1.11,1.04,0.93,1,0.99,NA,NA,NA,1.02,0.9,NA
"207","40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4","sp|P08865|RSSA_HUMAN",1.03,1.01,1.04,1,1.06,0.95,0.93,0.88,1.05,0.93,0.88,NA
"208","Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4","sp|P07910|HNRPC_HUMAN",1.11,0.62,1.04,1.21,0.9,1.17,1.23,0.78,1.46,0.9,0.83,1
"209","Arachidonate 5-lipoxygenase OS=Homo sapiens GN=ALOX5 PE=1 SV=2","sp|P09917|LOX5_HUMAN",1.12,0.98,1.04,1.14,1.14,1.26,0.82,0.83,1.15,1.2,1.15,NA
"210","Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=4","sp|Q01518|CAP1_HUMAN",1.01,1.05,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2","sp|Q99623|PHB2_HUMAN",0.97,0.98,1.04,NA,NA,NA,1.05,0.94,0.96,1,0.87,NA
"212","Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens GN=EIF1AX PE=1 SV=2","sp|P47813|IF1AX_HUMAN",1.04,0.94,1.04,NA,NA,NA,NA,NA,NA,0.93,0.86,NA
"213","Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=1","sp|P40121|CAPG_HUMAN",1.54,1.1,1.04,0.94,1.11,1.09,NA,NA,NA,1.01,0.93,NA
"214","Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3","sp|P23528|COF1_HUMAN",1.02,0.87,1.04,0.94,0.87,0.97,1.2,0.88,0.94,0.96,0.94,NA
"215","Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3","sp|P59998|ARPC4_HUMAN",1.09,1.01,1.03,0.86,0.96,1.02,1.12,1.01,0.91,1.07,0.94,NA
"216","Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3","sp|Q14697|GANAB_HUMAN",1.08,1.02,1.03,1.1,1.07,1.11,1.07,1.26,1.2,0.96,1.15,NA
"217","40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2","sp|P15880|RS2_HUMAN",1.05,0.97,1.03,NA,NA,NA,1.14,1.15,1.01,1.2,1.38,NA
"218","Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1","sp|P61160|ARP2_HUMAN",1.06,0.94,1.03,NA,NA,NA,1.01,0.89,1,0.9,0.84,NA
"219","60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1","sp|P83731|RL24_HUMAN",1.02,0.97,1.03,NA,NA,NA,0.92,0.69,0.95,1.03,1.06,NA
"220","SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1","sp|Q8TAQ2|SMRC2_HUMAN",0.88,0.96,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4","sp|P46782|RS5_HUMAN",0.98,0.87,1.03,0.93,0.94,1.12,NA,NA,NA,0.79,0.76,NA
"222","Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=2","sp|P13284|GILT_HUMAN",1.2,1.09,1.03,0.9,0.98,0.76,NA,NA,NA,NA,NA,NA
"223","Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2","sp|P00441|SODC_HUMAN",0.9,0.85,1.03,0.84,1,1.03,1.02,1.45,1.16,0.91,1.02,NA
"224","Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4","sp|P31146|COR1A_HUMAN",1.19,0.98,1.03,1.2,0.92,1.12,0.85,0.98,1.14,1.16,1.07,1.12
"225","Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3","sp|P52597|HNRPF_HUMAN",1.12,1.11,1.03,NA,NA,NA,1.1,0.93,1.08,1.21,1.03,NA
"226","40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2","sp|P39019|RS19_HUMAN",0.98,0.95,1.03,0.98,0.99,0.97,0.76,1.05,1.08,1,1.02,NA
"227","Tubulin beta-2C chain OS=Homo sapiens GN=TUBB2C PE=1 SV=1","sp|P68371|TBB2C_HUMAN",0.97,0.96,1.03,1.29,1.17,1.07,NA,NA,NA,1.06,0.89,NA
"228","Putative ubiquitin-conjugating enzyme E2 N-like OS=Homo sapiens GN=UBE2NL PE=5 SV=1","sp|Q5JXB2|UE2NL_HUMAN",0.88,1.01,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Lymphocyte-specific protein 1 OS=Homo sapiens GN=LSP1 PE=1 SV=1","sp|P33241|LSP1_HUMAN",1.06,1.24,1.03,1.15,0.97,1.02,1.27,1.41,1.28,NA,NA,NA
"230","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1","sp|O00483|NDUA4_HUMAN",1.19,0.99,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2","sp|O43169|CYB5B_HUMAN",1.18,1.1,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1","sp|P62899|RL31_HUMAN",0.99,1.03,1.03,0.96,0.97,0.89,NA,NA,NA,1.09,1.07,NA
"233","PRA1 family protein 3 OS=Homo sapiens GN=ARL6IP5 PE=1 SV=1","sp|O75915|PRAF3_HUMAN",1.01,1.1,1.03,1.12,1.08,1.08,NA,NA,NA,NA,NA,NA
"234","Histone-binding protein RBBP7 OS=Homo sapiens GN=RBBP7 PE=1 SV=1","sp|Q16576|RBBP7_HUMAN",1.05,1.02,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2","sp|P84077|ARF1_HUMAN",1.07,1.05,1.02,0.99,0.98,1,1.01,0.88,0.94,NA,NA,NA
"236","Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2","sp|P07437|TBB5_HUMAN",1.2,1.16,1.02,1.09,1.25,1.08,1.08,0.89,1.2,0.91,1.12,NA
"237","Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3","sp|P30041|PRDX6_HUMAN",1.15,0.96,1.02,1.02,1.18,0.96,0.95,1.03,0.88,1.08,1.04,NA
"238","ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3","sp|O75947|ATP5H_HUMAN",0.99,0.98,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1","sp|P35659|DEK_HUMAN",1.12,1.01,1.02,0.88,0.86,0.96,1.05,1,1.12,0.91,0.98,0.87
"240","Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2","sp|P38646|GRP75_HUMAN",0.99,1,1.02,1.02,0.89,0.94,0.99,1.08,1.13,0.85,0.99,NA
"241","Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=1","sp|Q92841|DDX17_HUMAN",0.96,0.98,1.02,NA,NA,NA,1.26,1.35,1.04,NA,NA,NA
"242","Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2","sp|P50395|GDIB_HUMAN",0.97,0.91,1.02,0.93,0.81,0.87,NA,NA,NA,0.85,0.94,NA
"243","Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2","sp|Q15365|PCBP1_HUMAN",0.97,0.97,1.02,0.94,1.26,0.96,NA,NA,NA,0.92,0.75,NA
"244","Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1","sp|Q04837|SSBP_HUMAN",1.07,0.83,1.02,1.17,0.96,1.16,NA,NA,NA,0.91,0.83,NA
"245","Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2","sp|Q09666|AHNK_HUMAN",1.18,1.03,1.02,1.14,0.97,0.92,1.11,1.75,0.86,0.99,0.94,1.19
"246","60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2","sp|Q07020|RL18_HUMAN",1.06,1.21,1.02,0.94,0.97,0.92,NA,NA,NA,NA,NA,NA
"247","Stromal membrane-associated protein 2 OS=Homo sapiens GN=SMAP2 PE=1 SV=1","sp|Q8WU79|SMAP2_HUMAN",1.12,1.13,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3","sp|P37802|TAGL2_HUMAN",1.04,0.98,1.02,0.9,0.92,0.88,0.98,0.86,0.96,0.83,0.82,NA
"249","Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3","sp|Q12906|ILF3_HUMAN",1.12,0.87,1.02,1.14,NA,1,1.16,0.89,1.03,NA,NA,1.03
"250","60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1","sp|P05387|RLA2_HUMAN",1.07,1.05,1.01,0.97,0.95,0.87,NA,NA,NA,NA,NA,NA
"251","Transforming protein RhoA OS=Homo sapiens GN=RHOA PE=1 SV=1","sp|P61586|RHOA_HUMAN",0.99,1.01,1.01,NA,NA,NA,1.19,0.89,1.04,NA,NA,NA
"252","ATP synthase subunit b, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2","sp|P24539|AT5F1_HUMAN",0.97,0.87,1.01,1.02,0.92,1.04,NA,NA,NA,NA,NA,NA
"253","Elongation factor Tu, mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2","sp|P49411|EFTU_HUMAN",0.81,0.95,1.01,0.93,0.97,1,0.96,1.04,1.01,0.97,0.88,NA
"254","Prothymosin alpha OS=Homo sapiens GN=PTMA PE=1 SV=2","sp|P06454|PTMA_HUMAN",0.88,0.7,1.01,NA,NA,NA,0.95,0.68,0.8,0.89,1.09,NA
"255","60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4","sp|P26373|RL13_HUMAN",0.98,0.93,1.01,0.98,0.91,0.93,0.85,0.77,0.9,1.02,0.97,NA
